id_municipio,sigla_uf,regiao,taxa_alfabetizacao,prob_risco
3122207,MG,Sudeste,87.1,0.016038803562605446
3113107,MG,Sudeste,83.33,0.016019931651595657
3202405,ES,Sudeste,75.99,0.016015967728765512
4119905,PR,Sul,75.9,0.015975983625966413
3120508,MG,Sudeste,81.73,0.015959847509970322
4127304,PR,Sul,81.46,0.015940897276492953
4127007,PR,Sul,88.2,0.01590264765132132
3161056,MG,Sudeste,67.09,0.015890265939884206
3156452,MG,Sudeste,78.18,0.015841532402305673
2204808,PI,Nordeste,95.83,0.015797143536203807
3109501,MG,Sudeste,86.58,0.01574165713753107
4101903,PR,Sul,80.24,0.01573364845471672
3143906,MG,Sudeste,73.13,0.01571913966835564
3106655,MG,Sudeste,83.33,0.01570434539592441
4122503,PR,Sul,76.32,0.015680054038300507
4118006,PR,Sul,67.76,0.01565947671378668
3530201,SP,Sudeste,87.52,0.015651836606584948
5201454,GO,Centro-Oeste,87.09,0.015637362724665503
4124004,PR,Sul,54.43,0.015635030811931162
4122404,PR,Sul,71.84,0.015627800803199778
3170057,MG,Sudeste,70.42,0.01562208165186496
5210109,GO,Centro-Oeste,74.13,0.0155978392898479
3142908,MG,Sudeste,66.67,0.015552022942940008
2108900,MA,Nordeste,77.27,0.015538940266173319
3111705,MG,Sudeste,87.5,0.015536095599891345
3145505,MG,Sudeste,94.29,0.01551608008649914
5209705,GO,Centro-Oeste,65.56,0.015497556053968383
3165107,MG,Sudeste,82.09,0.015495639645404171
4216701,SC,Sul,82.26,0.015487309772674807
3202256,ES,Sudeste,77.12,0.01548690016641219
4123808,PR,Sul,82.63,0.015477707869919696
3109204,MG,Sudeste,75.91,0.015425231503064641
4105904,PR,Sul,78.22,0.015419490761914675
4215406,SC,Sul,72.08,0.015407193562811764
2612109,PE,Nordeste,92.16,0.015383931226424357
3140530,MG,Sudeste,83.69,0.015371005270042063
3140100,MG,Sudeste,56.14,0.01530424619929627
3161700,MG,Sudeste,82.95,0.015288441656828682
4119707,PR,Sul,80.42,0.015283393764824262
2210631,PI,Nordeste,76.86,0.01528100461527251
1100098,RO,Norte,71.16,0.015271984537931268
3150901,MG,Sudeste,78.97,0.015271709969505085
2211506,PI,Nordeste,48.57,0.01526457313822168
3157336,MG,Sudeste,43.82,0.015242969213613752
4210902,SC,Sul,94.86,0.015198573072095682
3135357,MG,Sudeste,60.75,0.015136921333027999
2307205,CE,Nordeste,77.45,0.015133004526196247
4208955,SC,Sul,77.08,0.015083603237331412
4215604,SC,Sul,86.49,0.015079558785445014
4109203,PR,Sul,72.67,0.015055391848911567
4217154,SC,Sul,84.21,0.015054956691135822
1100296,RO,Norte,83.36,0.015037765530869643
3201001,ES,Sudeste,84.92,0.015027313773280638
4115754,PR,Sul,80.48,0.01501837228230019
3200169,ES,Sudeste,81.68,0.015016250338641436
