id_municipio,ano,sigla_uf,regiao,prob_atingir_meta,prob_risco,atingiu_observado
2614105,2024,PE,Nordeste,0.0036115275322427887,0.9963884724677572,0
2601409,2024,PE,Nordeste,0.0036182836034546004,0.9963817163965454,0
5106240,2024,MT,Centro-Oeste,0.0036249078701623737,0.9963750921298377,0
3162302,2024,MG,Sudeste,0.0036250186516361806,0.9963749813483638,0
3534302,2024,SP,Sudeste,0.003629203344310673,0.9963707966556893,1
1304005,2024,AM,Norte,0.003634413163389282,0.9963655868366107,0
3503109,2024,SP,Sudeste,0.003636580535445415,0.9963634194645545,0
2616308,2024,PE,Nordeste,0.0036439773562038287,0.9963560226437962,1
3139250,2024,MG,Sudeste,0.003653174054223159,0.9963468259457768,1
2911253,2024,BA,Nordeste,0.0036610460835133636,0.9963389539164866,0
3507506,2024,SP,Sudeste,0.003665865117104743,0.9963341348828952,0
2702207,2024,AL,Nordeste,0.003672621012686785,0.9963273789873132,1
2912301,2024,BA,Nordeste,0.003673105848543097,0.9963268941514569,0
2919058,2024,BA,Nordeste,0.0036872826567806638,0.9963127173432194,0
2503407,2024,PB,Nordeste,0.003693747213228108,0.9963062527867719,0
2207777,2024,PI,Nordeste,0.003701847407245295,0.9962981525927547,0
2931806,2024,BA,Nordeste,0.0037084304655128964,0.996291569534487,0
4106001,2024,PR,Sul,0.0037093150243238623,0.9962906849756762,0
1504307,2024,PA,Norte,0.0037205644954301127,0.9962794355045699,0
2922409,2024,BA,Nordeste,0.003747571478616924,0.9962524285213831,0
2409902,2024,RN,Nordeste,0.0037552370571820727,0.9962447629428179,0
5006200,2024,MS,Centro-Oeste,0.0037603042822420872,0.996239695717758,1
2505352,2024,PB,Nordeste,0.003760425141332173,0.9962395748586679,0
3520905,2024,SP,Sudeste,0.0037623333544634383,0.9962376666455366,0
3507159,2024,SP,Sudeste,0.003770594990606502,0.9962294050093935,0
3502903,2024,SP,Sudeste,0.003774977524940359,0.9962250224750596,0
2708501,2024,AL,Nordeste,0.003802180595628938,0.996197819404371,1
3144201,2024,MG,Sudeste,0.0038082940795583237,0.9961917059204417,0
3113008,2024,MG,Sudeste,0.0038157962660714468,0.9961842037339286,1
2910305,2024,BA,Nordeste,0.003850366261800346,0.9961496337381996,0
5200258,2024,GO,Centro-Oeste,0.003853945966669141,0.9961460540333309,0
3142908,2024,MG,Sudeste,0.003861203302133465,0.9961387966978665,0
3105400,2024,MG,Sudeste,0.003864987955156656,0.9961350120448433,0
3505351,2024,SP,Sudeste,0.0038734393799479236,0.9961265606200521,0
1100049,2024,RO,Norte,0.0038789936308084175,0.9961210063691915,0
4105201,2024,PR,Sul,0.0038881607840325232,0.9961118392159675,0
2510006,2024,PB,Nordeste,0.0038888784063613596,0.9961111215936387,1
3153202,2024,MG,Sudeste,0.0038985505855838195,0.9961014494144161,0
3500303,2024,SP,Sudeste,0.0039135891949757815,0.9960864108050242,1
3302403,2024,RJ,Sudeste,0.003919477508451575,0.9960805224915484,0
2517407,2024,PB,Nordeste,0.003944399155271544,0.9960556008447284,0
2209401,2024,PI,Nordeste,0.003947272684559425,0.9960527273154406,0
1707652,2024,TO,Norte,0.003949928681664837,0.9960500713183351,0
3526407,2024,SP,Sudeste,0.0039762242619270265,0.996023775738073,0
2205805,2024,PI,Nordeste,0.004003872090335786,0.9959961279096642,0
2102408,2024,MA,Nordeste,0.004007753341971796,0.9959922466580282,0
3125002,2024,MG,Sudeste,0.004039571237649821,0.9959604287623501,1
2414001,2024,RN,Nordeste,0.004047318011782107,0.9959526819882178,0
3535507,2024,SP,Sudeste,0.004086652902763413,0.9959133470972366,0
2602803,2024,PE,Nordeste,0.004094398121464979,0.995905601878535,0
2906907,2024,BA,Nordeste,0.004100549960982799,0.9958994500390173,0
3556701,2024,SP,Sudeste,0.004120003490350004,0.99587999650965,0
1600303,2024,AP,Norte,0.004138587221029359,0.9958614127789707,0
2915007,2024,BA,Nordeste,0.004147092326934619,0.9958529076730653,0
2411601,2024,RN,Nordeste,0.0041523421447511345,0.9958476578552489,0
3300100,2024,RJ,Sudeste,0.004169830235377641,0.9958301697646224,0
3547809,2024,SP,Sudeste,0.004172107941960731,0.9958278920580392,0
5105150,2024,MT,Centro-Oeste,0.004185568875478091,0.995814431124522,0
3127305,2024,MG,Sudeste,0.004216847302120705,0.9957831526978793,1
3531506,2024,SP,Sudeste,0.004221676220865362,0.9957783237791347,0
2611705,2024,PE,Nordeste,0.004222327481950987,0.995777672518049,0
2908101,2024,BA,Nordeste,0.004225030214690448,0.9957749697853095,0
2515500,2024,PB,Nordeste,0.004228573460676646,0.9957714265393234,0
3525508,2024,SP,Sudeste,0.004232225646381858,0.9957677743536182,0
5002407,2024,MS,Centro-Oeste,0.004233780294538556,0.9957662197054614,1
5107040,2024,MT,Centro-Oeste,0.004240189999736673,0.9957598100002634,0
1301308,2024,AM,Norte,0.004268241760854784,0.9957317582391452,0
3306206,2024,RJ,Sudeste,0.004276095316081595,0.9957239046839184,0
2807303,2024,SE,Nordeste,0.004290645183830073,0.99570935481617,1
3540002,2024,SP,Sudeste,0.0042921640564752336,0.9957078359435247,0
2904209,2024,BA,Nordeste,0.004295470807272771,0.9957045291927272,0
5103700,2024,MT,Centro-Oeste,0.00431322723433334,0.9956867727656666,0
2105005,2024,MA,Nordeste,0.004320880489256656,0.9956791195107434,0
3502408,2024,SP,Sudeste,0.004324622918422461,0.9956753770815775,0
1600212,2024,AP,Norte,0.004325481637407159,0.9956745183625928,0
3550407,2024,SP,Sudeste,0.004329129195250967,0.995670870804749,0
3125309,2024,MG,Sudeste,0.004339264827827313,0.9956607351721727,1
3509700,2024,SP,Sudeste,0.004344027820128859,0.9956559721798711,0
3156205,2024,MG,Sudeste,0.004384559471940174,0.9956154405280598,0
3116100,2024,MG,Sudeste,0.004389840353953112,0.9956101596460469,1
4320651,2024,RS,Sul,0.004396294716907863,0.9956037052830922,0
3304003,2024,RJ,Sudeste,0.0043993525154471125,0.9956006474845529,0
2502805,2024,PB,Nordeste,0.0044031703225084085,0.9955968296774916,0
2923308,2024,BA,Nordeste,0.004427781356285341,0.9955722186437147,1
1100023,2024,RO,Norte,0.004437372302335515,0.9955626276976645,0
1506559,2024,PA,Norte,0.004473326201112627,0.9955266737988874,0
3170206,2024,MG,Sudeste,0.004479061289784409,0.9955209387102156,1
3125804,2024,MG,Sudeste,0.004501100467495551,0.9954988995325045,0
